City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-03-10 11:19:10,-23.1203,-134.9692,77.95,71,77,7.81
1,Saint-Francois,FR,2022-03-10 11:19:34,46.4154,3.9054,56.48,61,0,3.44
2,Chokurdakh,RU,2022-03-10 11:12:28,70.6333,147.9167,-9.24,97,100,5.88
3,Butaritari,KI,2022-03-10 11:19:15,3.0707,172.7902,80.01,82,94,14.41
4,Hermanus,ZA,2022-03-10 11:19:35,-34.4187,19.2345,80.8,60,10,16.73
5,Dikson,RU,2022-03-10 11:19:36,73.5069,80.5464,-21.08,98,91,8.63
6,Saldanha,ZA,2022-03-10 11:16:25,-33.0117,17.9442,68.94,74,11,17.09
7,Barrow,US,2022-03-10 11:19:36,71.2906,-156.7887,-16.58,83,0,9.22
8,Tornio,FI,2022-03-10 11:19:37,65.8481,24.1466,32.02,86,98,20.4
9,Calama,CL,2022-03-10 11:15:57,-22.4667,-68.9333,55.89,67,75,3.44
10,Linxia,CN,2022-03-10 11:19:37,35.6003,103.2064,61.68,27,1,5.28
11,Hami,CN,2022-03-10 11:19:38,42.8,93.45,58.75,23,19,5.95
12,Mogadishu,SO,2022-03-10 11:15:01,2.0371,45.3438,84.42,62,100,22.82
13,Fairbanks,US,2022-03-10 11:19:38,64.8378,-147.7164,22.96,68,100,9.22
14,Dutlwe,BW,2022-03-10 11:19:39,-23.9833,23.9,83.68,37,16,9.1
15,Jamestown,US,2022-03-10 11:17:32,42.097,-79.2353,26.85,69,0,3.44
16,Majholi,IN,2022-03-10 11:19:40,23.5,79.9167,88.84,15,3,9.08
17,Mataura,NZ,2022-03-10 11:19:40,-46.1927,168.8643,60.48,98,56,3.27
18,Saskylakh,RU,2022-03-10 11:19:41,71.9167,114.0833,-29.97,100,71,1.97
19,Carnarvon,AU,2022-03-10 11:19:13,-24.8667,113.6333,84.27,61,0,8.05
20,Tasiilaq,GL,2022-03-10 11:19:17,65.6145,-37.6368,24.96,81,100,18.43
21,Seoul,KR,2022-03-10 11:19:41,37.5683,126.9778,49.48,65,0,1.14
22,Puro,PH,2022-03-10 11:19:42,12.4841,123.3827,77.56,88,100,9.15
23,Punta Arenas,CL,2022-03-10 11:19:23,-53.15,-70.9167,46.51,61,20,8.05
24,Saint-Philippe,RE,2022-03-10 11:19:42,-21.3585,55.7679,87.39,83,43,8.14
25,Nikolskoye,RU,2022-03-10 11:13:36,59.7035,30.7861,30.87,69,15,6.78
26,Hoquiam,US,2022-03-10 11:18:32,46.9809,-123.8893,36.0,75,0,4.61
27,Bethel,US,2022-03-10 11:12:21,41.3712,-73.414,33.04,92,99,1.68
28,Ushuaia,AR,2022-03-10 11:19:11,-54.8,-68.3,44.26,70,40,4.61
29,Vaini,TO,2022-03-10 11:19:20,-21.2,-175.2,77.16,88,75,4.61
30,Port Alfred,ZA,2022-03-10 11:19:44,-33.5906,26.891,78.91,70,64,17.47
31,Qaanaaq,GL,2022-03-10 11:19:44,77.484,-69.3632,-8.41,50,49,7.2
32,Springbok,ZA,2022-03-10 11:19:45,-29.6643,17.8865,91.98,24,20,10.36
33,Sechura,PE,2022-03-10 11:19:45,-5.5569,-80.8222,72.82,76,99,6.58
34,Altay,CN,2022-03-10 11:19:45,47.8667,88.1167,32.36,86,100,3.22
35,Yellowknife,CA,2022-03-10 11:19:46,62.456,-114.3525,-17.88,69,0,14.97
36,Avarua,CK,2022-03-10 11:19:46,-21.2078,-159.775,78.85,89,100,8.05
37,Codrington,AU,2022-03-10 11:19:47,-38.2667,141.9667,57.87,74,8,9.84
38,Touros,BR,2022-03-10 11:18:34,-5.1989,-35.4608,83.3,72,81,13.47
39,Zhangye,CN,2022-03-10 11:16:19,38.9342,100.4517,57.09,23,53,11.59
40,College,US,2022-03-10 11:09:49,64.8569,-147.8028,22.95,68,100,9.22
41,Ponta Do Sol,PT,2022-03-10 11:13:43,32.6667,-17.1,70.0,74,42,6.73
42,Alice Springs,AU,2022-03-10 11:19:38,-23.7,133.8833,77.22,21,0,6.91
43,Mahebourg,MU,2022-03-10 11:19:48,-20.4081,57.7,86.29,74,40,9.22
44,Pisco,PE,2022-03-10 11:19:49,-13.7,-76.2167,68.05,83,0,4.61
45,Nouadhibou,MR,2022-03-10 11:12:22,20.931,-17.0347,67.82,54,0,13.06
46,New Norfolk,AU,2022-03-10 11:19:16,-42.7826,147.0587,56.7,54,50,2.64
47,Puerto Ayora,EC,2022-03-10 11:20:49,-0.7393,-90.3518,73.54,99,14,1.01
48,Auray,FR,2022-03-10 11:20:50,47.6703,-2.9918,53.8,70,90,2.48
49,Omboue,GA,2022-03-10 11:20:50,-1.5746,9.2618,81.14,83,100,7.72
50,Esperance,AU,2022-03-10 11:11:08,-33.8667,121.9,68.76,69,98,17.29
51,Rocha,UY,2022-03-10 11:20:51,-34.4833,-54.3333,66.24,84,100,4.81
52,Mezen,RU,2022-03-10 11:20:51,65.8522,44.24,23.83,92,100,11.07
53,East London,ZA,2022-03-10 11:14:59,-33.0153,27.9116,79.74,69,0,21.85
54,Northam,GB,2022-03-10 11:16:27,51.0333,-4.2167,49.91,85,94,11.36
55,Villagarzon,CO,2022-03-10 11:20:52,1.0375,-76.6267,70.88,93,92,3.67
56,Busselton,AU,2022-03-10 11:20:52,-33.65,115.3333,85.08,46,31,10.13
57,Wawa,NG,2022-03-10 11:20:53,9.9022,4.4192,99.82,12,60,2.91
58,Roebourne,AU,2022-03-10 11:20:53,-20.7833,117.1333,88.39,55,2,13.51
59,Waipawa,NZ,2022-03-10 11:20:54,-41.4122,175.5153,55.67,88,0,7.05
60,Cidreira,BR,2022-03-10 11:20:54,-30.1811,-50.2056,75.04,88,97,5.86
61,Santa Cruz,BO,2022-03-10 11:20:55,-17.8,-63.1667,75.25,88,75,10.36
62,Shenzhen,CN,2022-03-10 11:20:55,22.5455,114.0683,73.08,75,9,7.9
63,Cherskiy,RU,2022-03-10 11:12:20,68.75,161.3,14.94,66,10,12.93
64,Ribeira Grande,PT,2022-03-10 11:13:39,38.5167,-28.7,59.4,63,40,29.93
65,Musenita,RO,2022-03-10 11:20:56,47.9667,26.0,33.08,66,100,12.55
66,Atuona,PF,2022-03-10 11:20:56,-9.8,-139.0333,78.21,77,61,18.12
67,Hobart,AU,2022-03-10 11:20:57,-42.8794,147.3294,57.06,68,75,11.5
68,Regina,CA,2022-03-10 11:20:00,50.4501,-104.6178,-0.4,79,75,10.36
69,Kodiak,US,2022-03-10 11:12:24,57.79,-152.4072,38.71,100,100,10.36
70,Hilo,US,2022-03-10 11:16:12,19.7297,-155.09,72.63,87,75,4.61
